10_at,NAT2
100_at,ADA
1000_at,CDH2
10000_at,AKT3
10001_at,MED6
10002_at,NR2E3
10003_at,NAALAD2
10004_at,NAALADL1
10005_at,ACOT8
10006_at,ABI1
10007_at,GNPDA1
10009_at,ZBTB33
1001_at,CDH3
10010_at,TANK
10013_at,HDAC6
10014_at,HDAC5
10015_at,PDCD6IP
10016_at,PDCD6
10017_at,BCL2L10
10018_at,BCL2L11
10019_at,SH2B3
1002_at,CDH4
10020_at,GNE
10021_at,HCN4
10022_at,INSL5
10023_at,FRAT1
10024_at,TROAP
10025_at,MED16
10026_at,PIGK
1003_at,CDH5
10036_at,CHAF1A
10038_at,PARP2
10039_at,PARP3
1004_at,CDH6
10040_at,TOM1L1
10042_at,HMG2L1
10043_at,TOM1
10045_at,SH2D3A
10046_at,MAMLD1
10047_at,CST8
10048_at,RANBP9
10049_at,DNAJB6
1005_at,CDH7
10050_at,SLC17A4
10051_at,SMC4
10052_at,GJC1
10053_at,AP1M2
10054_at,UBA2
10055_at,SAE1
10057_at,ABCC5
10058_at,ABCB6
10059_at,DNM1L
1006_at,CDH8
10060_at,ABCC9
10061_at,ABCF2
10062_at,NR1H3
10066_at,SCAMP2
10067_at,SCAMP3
10069_at,RWDD2B
1007_at,CDH9
10072_at,DPP3
10073_at,SNUPN
10075_at,HUWE1
10076_at,PTPRU
10077_at,TSPAN32
10078_at,TSSC4
10079_at,ATP9A
1008_at,CDH10
10083_at,USH1C
10084_at,PQBP1
10085_at,EDIL3
10086_at,HHLA1
10087_at,COL4A3BP
10089_at,KCNK7
1009_at,CDH11
10090_at,UST
10092_at,ARPC5
10093_at,ARPC4
10095_at,ARPC1B
10096_at,ACTR3
10097_at,ACTR2
10098_at,TSPAN5
10099_at,TSPAN3
101_at,ADAM8
1010_at,CDH12
10100_at,TSPAN2
10101_at,NUBP2
10102_at,TSFM
10103_at,TSPAN1
10105_at,PPIF
10106_at,CTDSP2
10107_at,TRIM10
10109_at,ARPC2
10110_at,SGK2
10111_at,RAD50
10112_at,KIF20A
10113_at,PREB
10114_at,HIPK3
10116_at,FEM1B
1012_at,CDH13
10120_at,ACTR1B
10121_at,ACTR1A
10123_at,ARL4C
10125_at,RASGRP1
10126_at,DNAL4
10127_at,ZNF263
10128_at,LRPPRC
10129_at,FRY
1013_at,CDH15
10130_at,PDIA6
10131_at,TRAP1
10133_at,OPTN
10134_at,BCAP31
10136_at,ELA3A
10137_at,RBM12
10138_at,YAF2
10139_at,ARFRP1
1014_at,CDH16
10140_at,TOB1
10141_at,C4orf6
10142_at,AKAP9
10144_at,FAM13A1
10146_at,G3BP1
10147_at,SFRS14
10148_at,EBI3
10149_at,GPR64
1015_at,CDH17
10150_at,MBNL2
10151_at,HNRNPA3P1
10152_at,ABI2
10153_at,CEBPZ
10154_at,PLXNC1
10155_at,TRIM28
10157_at,AASS
10158_at,PDZK1IP1
10159_at,ATP6AP2
1016_at,CDH18
10160_at,FARP1
10161_at,P2RY5
10162_at,MBOAT5
10164_at,CHST4
10165_at,SLC25A13
10168_at,ZNF197
10169_at,SERF2
1017_at,CDK2
10170_at,DHRS9
10171_at,RCL1
10174_at,SORBS3
10175_at,CNIH
10179_at,RBM7
1018_at,CDK3
10180_at,RBM6
10181_at,RBM5
10184_at,LHFPL2
10186_at,LHFP
10188_at,TNK2
1019_at,CDK4
10190_at,TXNDC9
10193_at,RNF41
10195_at,ALG3
10196_at,PRMT3
10197_at,PSME3
10198_at,MPHOSPH9
10199_at,MPHOSPH10
102_at,ADAM10
1020_at,CDK5
10200_at,MPHOSPH6
10201_at,NME6
10202_at,DHRS2
10203_at,CALCRL
10205_at,MPZL2
10206_at,TRIM13
10207_at,INADL
10208_at,USPL1
10209_at,EIF1
1021_at,CDK6
10210_at,TOPORS
10211_at,FLOT1
10212_at,DDX39
10213_at,PSMD14
10214_at,SSX3
10215_at,OLIG2
10216_at,PRG4
10217_at,CTDSPL
10218_at,ANGPTL7
10219_at,KLRG1
1022_at,CDK7
10220_at,GDF11
10221_at,TRIB1
10223_at,GPA33
10224_at,ZNF443
10225_at,CD96
